N°	Année 	Intitulé du projet	Date de démarrage/mise en vigueur	Date de clôture (Date limite de décaissement)	Structure de tutelle/Ministère	Partenaire/Bailleur	Type de bailleur (Multilatéral, Bilatéral, ...)	Prêt	Don	Total	Secteur Principal
58	2023	Projet d'Electrification rurale de cent localites par le reseau centralise en Republique du Benin	19/12/2018	31/12/2025	MEEM	BIDC	Multilatéral	2 204 541 044	0	2 204 541 044	ELECTRICITE
59	2023	Projet d'Appui au Developpement du Maraichage (PADMAR)	01/02/2016	30/06/2027	MAEP	FIDA	Multilatéral	1 029 856 873	9 003 615 409	10 033 472 282	AGRICULTURE
60	2023	Projet d'Appui au Developpement Agricole et a l'Acces au Marche (PADAAM)	08/02/2019	31/12/2027	MAEP	FIDA	Multilatéral	614 007 461	260 840 002	874 847 463	AGRICULTURE
61	2023	Programme Regional d'Integration des Marches Agricoles (PRIMA)	01/11/2021	30/06/2030	MAEP	FIDA	Multilatéral	482 784 352	0	482 784 352	AGRICULTURE
62	2023	Projet de reduction des pertes d'eau et d'amelioration de la viabilite des systemes d'AEP de Cotonou, Porto-Novo et leurs Agglomerations	14/11/2015	31/12/2024	MEEM	FSN	Multilatéral	86 760 636	0	86 760 636	EAU
63	2023	Projet d'Appui au Developpement du Maraichage (PADMAR)	09/11/2016	31/12/2024	MAEP	OPEP	Multilatéral	1 045 684 090	0	1 045 684 090	AGRICULTURE
64	2023	Projet de rehabilitation du corridor cotonou-niamey: section de beroubouay-malanville (169,4km)	11/10/2018	31/12/2025	MCVT	OPEP	Multilatéral	379 498 280	0	379 498 280	TRANSPORT
65	2023	Projet de preparation et de riposte au COVID-19	10/05/2022	31/12/2022	MS	AID	Multilatéral	0	2 126 892 939	2 126 892 939	SANTE
66	2023	Projet de Partenariat mondial pour l'education au Benin	NA	NA	MESFP	AID	Multilatéral	0	4 142 268 935	4 142 268 935	EDUCATION
67	2023	Projet de transport urbain a Parakou	17/10/2014	31/12/2023	MCVT	BAD	Multilatéral	203 152 138	74 798 680	277 950 819	TRANSPORT
68	2023	Projet d'appui a la production vivriere	NA	NA	MAEP	BAD	Multilatéral	0	1 104 295 003	1 104 295 003	AGRICULTURE
69	2023	Projet de drainage des eaux pluviales a Cotonou	19/12/2018	10/08/2026	MEEM	BEI	Multilatéral	9 082 871 134	0	9 082 871 134	EAU
70	2023	Projet d'Augmentation de l'Acces a l'Electricite	NA	NA	MEEM	BEI	Multilatéral	17 403 059 278	0	17 403 059 278	ELECTRICITE
71	2023	Projet de construction de la route Beterou Tchaourou - frontiere du Nigeria	08/08/2016	31/12/2025	MCVT	BID	Multilatéral	7 556 082 164	0	7 556 082 164	TRANSPORT
72	2023	Projet integre de developpement des chaines de valeur agricoles	15/10/2022	31/07/2028	MAEP	BID	Multilatéral	154 699 769	0	154 699 769	AGRICULTURE
73	2023	Projet de developpement de l'enseignement de base phase IV	10/06/2014	30/10/2022	MESFP	BID	Multilatéral	48 806 945	0	48 806 945	EDUCATION
74	2023	Financement MOURABAHA pour l'achat des produits pharmaceutiques et medicaux et leur vente a la Republique du Benin	31/12/2020	28/05/2022	MS	ITFC	Multilatéral	9 934 713 188	0	9 934 713 188	SANTE
75	2023	Financement MOURABAHA pour l'achat de gaz et de produits petroliers et leur vente en Republique du Benin	16/12/2020	21/06/2022	MEEM	ITFC	Multilatéral	4 056 173 016	0	4 056 173 016	AUTRE
76	2023	Projet de soutien au developpement agricole et a l'acces au marche	15/10/2019	31/12/2025	MAEP	OPEP	Multilatéral	328 088 598	0	328 088 598	AGRICULTURE
77	2023	Projet de conception et construction du CHU d'Abomey-calavi	11/02/2020	11/07/2024	MS	SG	Banque Commerciale Internationale	13 029 191 660	0	13 029 191 660	SANTE
78	2023	Projet de construction d'un complexe touristique 'Marina de Ouidah'	31/12/2019	30/09/2025	MTCA	BOC	Banque Commerciale Internationale	8 665 616 374	0	8 665 616 374	TOURISME
79	2023	Projet Acces Durable et Securise du Benin a l'Energie Electrique (PADSBEE)	01/04/2021	30/09/2025	MEEM	NTXS	Banque Commerciale Internationale	45 603 264 363	0	45 603 264 363	ELECTRICITE
80	2023	Programme d'Assurance pour le Renforcement du Capital Humain (ARCH)	21/12/2018	17/01/2023	MS	Credit Suisse	Banque Commerciale Internationale	13 224 725 733	0	13 224 725 733	SANTE
81	2023	Projet de construction d'un pont sur le lac Toho, d'aménagement et de bitumage de la RN 36 et de la route Guesso sud-Fô Bour-Sinendé et de renforcement de la route Comé- Possotomé- Bopa-Zoungbonou sur financement de Deutsch Bank	09/04/2021	31/12/2025	MCVT	DEUTSH BANK	Banque Commerciale Internationale	8 449 802 605	0	8 449 802 605	TRANSPORT
82	2023	Projet de Construction d'un marché de Gros du Grand-Nokoué, dans l'agglomération de Cotonou au Bénin	07/06/2022	30/11/2023	MCVT	OBHF	Banque Commerciale Internationale	23 596 060 225	0	23 596 060 225	TRANSPORT
83	2023	Projets "Objectifs de Développement Durable (ODD)"	NA	NA	MEF	DEUTSH BANK	Eurobond	229 584 950 000	0	229 584 950 000	DEVELOPPEMENT
84	2023	Projet de viabilisation et de construction dev1300 logements à Ouédo (Abomey Calavi)- TRANCHE CONCESSIONNELLE	12/09/2017	30/03/2026	MCVT	BOAD	Banque régionale	775 000 000	0	775 000 000	CADRE DE VIE
85	2023	Projet de construction d'une plateforme logistique au niveau du pôle agroalimentaire de l'agglomération du grand Nokoué	11/11/2021	07/08/2026	MAEP	BOAD	Banque régionale	6 591 965 424	0	6 591 965 424	AGRICULTURE
86	2023	Projet de sécurité alimentaire par l'aménagement des Bas-Fonds au Bénin	06/08/2009	31/12/2023	MAEP	BOAD	Banque régionale	782 144 630	0	782 144 630	AGRICULTURE
87	2023	Projet de Développement d'Infrastructures Socioéconomiques et de Sécurité Alimentaire (PDISSA)	06/03/2017	30/06/2026	MAEP	BOAD	Banque régionale	5 970 000	0	5 970 000	AUTRE
88	2023	Projet de viabilisation du site de construction de 791 logements sociaux et économiques dans la commune d'Abomey Calavi	15/04/2020	30/06/2026	MCVT	BOAD	Banque régionale	175 499 498	0	175 499 498	CADRE DE VIE
89	2023	Projet d'Appui à la Croissance Economique Rurale (PACER)	28/12/2016	30/06/2025	MAEP	BOAD	Banque régionale	394 755 902	0	394 755 902	DIVERS SECTEURS
90	2023	projet de viabilisation du site Ouédo - tranche 2	19/11/2020	20/10/2025	MCVT	BOAD	Banque régionale	591 605 579	0	591 605 579	CADRE DE VIE
91	2023	Programme d'assainissement pluvial de Cotonou - tranche d'urgence	25/06/2018	30/06/2026	MCVT	BOAD	Banque régionale	147 695 308	0	147 695 308	AUTRE
92	2023	Projet d'Interconnexion Electrique 161 KV Bembereke-Kandi-Malanville au Bénin	22/01/2011	31/12/2024	MEEM	BOAD	Banque régionale	80 153 958	0	80 153 958	ELECTRICITE
93	2023	Projet de sécurité alimentaire par l'intensification agricole au Bénin	07/10/2005	31/12/2023	MAEP	BOAD	Banque régionale	70 909 762	0	70 909 762	AGRICULTURE
94	2023	Pavage de Rues et d'Assainissement de Kandi et Savalou et d'un collecteur de crête à Bohicon	30/07/2013	30/09/2023	MCVT	BOAD	Banque régionale	9 934 848	0	9 934 848	AUTRE
95	2023	Projet de pavage de rues et assainissement de 07 villes	27/09/2014	31/03/2023	MCVT	BOAD	Banque régionale	6 274 319	0	6 274 319	TRANSPORT
96	2023	Projet d'aménagement et de bitumage route Lokossa Dévé - Aplahoué - Frontière du Togo	12/09/2017	30/06/2024	MCVT	BOAD	Banque régionale	261 088 700	0	261 088 700	TRANSPORT
1	2024	Projet de Soutien à l'Enseignement Secondaire au Bénin (SEnS)	08/07/2016	31/12/2025	MESFP	AFD	Bilatéral	1 144 339 366	0	1 144 339 366	EDUCATION
2	2024	Projet d'Assainissement pluvial de la ville de Cotonou (PAPC)	31/03/2020	31/03/2026	MCVT	AFD	Bilatéral	4 321 872 220	0	4 321 872 220	CADRE DE VIE
3	2024	Projet de Développement de l'enseignement technique, de la Formation et de l'Insertion Professionnelle (DEFIPRO)	15/11/2017	31/12/2026	MESFP	AFD	Bilatéral	576 041 440	0	576 041 440	EDUCATION
4	2024	Projet d'extention et de densification électrique des réseaux de la SBEE	24/07/2019	31/03/2025	MEEM	AFD	Bilatéral	954 049 163	1 043 409 199	1 997 458 362	ELECTRICITE
5	2024	Projet réinventer la cité lacustre de Ganvié	26/09/2019	31/12/2027	MCVT	AFD	Bilatéral	252 147 666	0	252 147 666	CADRE DE VIE
6	2024	Programme d'Adaptation des Villes aux Changements Climatiques (PAVICC)	05/03/2018	05/09/2025	MCVT	AFD	Bilatéral	2 787 256 652	0	2 787 256 652	CLIMAT
7	2024	Projet d'Appui à l'Entrepreneuriat au Bénin	27/07/2022	27/07/2027	MPMEPE	AFD	Bilatéral	471 236 586	0	471 236 586	ENTREPRENEURIAT
8	2024	Projet d'Appui au Développement et aux Investissements Agricoles Productifs (PADIAP)	05/07/2023	30/06/2029	MAEP	AFD	Bilatéral	673 195 123	0	673 195 123	AGRICULTURE
9	2024	Projet de construction d'une centrale solaire photovoltaïque d'une puissance de 25MWc et la modernisation de son système d'information	02/06/2023	25/03/2026	MEEM	AFD	Bilatéral	661 009 199	0	661 009 199	ELECTRICITE
10	2024	Projet de Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE (PRESREDI)	10/12/2018	10/12/2028	MEEM	AFD	Bilatéral	401 916 404	0	401 916 404	ELECTRICITE
11	2024	Programme d'appui à la Formation Agricole et Rurale (ProFAR)	27/11/2023	24/11/2027	MAEP	AFD	Bilatéral	11 807 226 000	0	11 807 226 000	AGRICULTURE
12	2024	Soutien budgétaire de consolidation macroéconomique	03/10/2024	03/10/2026	MEF	AFD	Bilatéral	26 238 280 000	0	26 238 280 000	APPUI BUDGETAIRE
13	2024	Financement budgétaire de politique publique au secteur de la culture	22/11/2024	23/10/2026	MEF	AFD	Bilatéral	12 463 183 000	0	12 463 183 000	APPUI BUDGETAIRE
14	2024	Projet d'Appui au Développement des Filières Protéiniques (PADéFIP)	NA	NA	MAEP	AFD	Bilatéral	0	919 650 682	919 650 682	AGRICULTURE
15	2024	Fonds d'Etude et de Renforcement des Capacités (FERC)	NA	NA	MESFP	AFD	Bilatéral	0	31 012 597	31 012 597	EDUCATION
16	2024	Réseau national large bande du Bénin phase II	15/04/2022	30/07/2025	MENC	EXIM	Bilatéral	3 815 934 929	0	3 815 934 929	NUMERIQUE
17	2024	Projet d'Approvisionnement en Eau Potable (AEP) dans trois villes: Zanganado, Covè et Boukoumbé	27/08/2019	31/12/2028	MEEM	FKOW	Bilatéral	341 705 707	0	341 705 707	EAU
18	2024	Projet de construction et d'équipement Hôpital de Zone de Tchaourou et six centres de santé	05/04/2016	30/06/2025	MS	FKOW	Bilatéral	317 577 936	0	317 577 936	SANTE
19	2024	Projet de construction et d'équipement de l'Hôpital de Savè	31/05/2011	31/12/2025	MS	FSD	Bilatéral	462 944 530	0	462 944 530	SANTE
20	2024	Projet de construction et d'équipement des centres universitaires	31/05/2011	31/12/2021	MS	FSD	Bilatéral	16 581 433	0	16 581 433	SANTE
21	2024	Projet de Construction d'une Centrale Solaire photovoltaïque 25 MWC à Illuofin (pobè)	02/06/2023	25/03/2026	MEEM	JBIC	Bilatéral	1 804 550 600	0	1 804 550 600	ELECTRICITE
22	2024	Projet d'Appui à la compétitivité des filières et à la diversification des exportations	01/07/2020	30/11/2026	MAEP	AID	Multilatéral	18 426 706 265	0	18 426 706 265	ELEVAGE
23	2024	Projet de renforcement des systèmes régionaux de surveillance des maladies (REDISSE)	11/06/2018	30/06/2024	MS	AID	Multilatéral	2 288 855 735	0	2 288 855 735	ELECTRICITE
24	2024	Projet Intégré de Transformation Numérique des zones rurales du Bénin (PITNZR)	08/08/2019	30/06/2025	MENC	AID	Multilatéral	6 058 024 754	0	6 058 024 754	NUMERIQUE
25	2024	Projet d'Investissement pour la résilience des zone côtière de l'Afrique de l'Ouest	14/09/2021	30/06/2025	MCVT	AID	Multilatéral	530 052 393	0	530 052 393	CADRE DE VIE
26	2024	Avance de préparation de projet programmatique au Bénin	NA	NA	MCVT	AID	Multilatéral	0	90 979 258	90 979 258	APPUI BUDGETAIRE
27	2024	Projet d'Accès universel à l'eau potable en milieu rural AQUA-VIE	14/06/2018	30/06/2027	MEM	AID	Multilatéral	7 431 016 518	0	7 431 016 518	EAU
28	2024	Projet de gestion des eaux pluviales et de résilience urbaine	07/10/2019	30/09/2025	MCVT	AID	Multilatéral	9 159 819 280	0	9 159 819 280	CADRE DE VIE
29	2024	Projet Africain des Centres d'Excellence d'Enseignement Supérieur pour l'Impact sur le Développement (ACE IMPACT)	02/03/2020	30/06/2025	MESRS	AID	Multilatéral	400 375 178	179 723 879	580 099 057	EDUCATION
30	2024	Projet d'Evaluation d'Electricité au Bénin	29/06/2021	31/12/2026	MEEM	AID	Multilatéral	3 861 638 691	0	3 861 638 691	ELECTRICITE
31	2024	Projet de Cohésion Sociale des Régions du Nord du Golfe de Guinée	26/04/2022	31/05/2027	MCVT	AID	Multilatéral	1 746 889 572	9 843 188 000	11 590 077 572	APPUI BUDGETAIRE
32	2024	Projet d'inclusion des jeunes au Bénin	31/12/2020	30/06/2027	MESFP	AID	Multilatéral	7 387 603 675	0	7 387 603 675	ENTREPRENEURIAT
33	2024	Programme de Gouvernance Economique pour la Prestation de Services	07/07/2023	30/06/2026	MEF	AID	Multilatéral	20 674 564 983	0	20 674 564 983	APPUI BUDGETAIRE
34	2024	Projet d'Harmonisation et d'Amélioration des Statistiques en Afrique de l'Ouest et du Centre (PHASAOC)	01/06/2023	15/12/2028	MEF	AID	Multilatéral	1 706 549 231	0	1 706 549 231	APPUI BUDGETAIRE
35	2024	Projet d'interconnexion électrique régionale North Core/Dorsale Nord	23/11/2018	01/12/2026	MEEM	AID	Multilatéral	3 263 994 838	3 197 244 343	6 461 239 181	ELECTRICITE
36	2024	Programme de Construction des Villes Résilientes et Inclusives (BRIC)	15/10/2022	30/06/2028	MCVT	AID	Multilatéral	11 437 348 450	0	11 437 348 450	CADRE DE VIE
37	2024	Projet de Formation Professionnelle et d'entrepreneuriat pour l'Emploi (PFPEEB)	31/12/2021	31/03/2027	MESFP	AID	Multilatéral	8 570 159 027	120 421 050	8 690 580 077	ENTREPRENEURIAT
38	2024	Projet d'Approvisionnement en Eau Potable en Milieu Rural et d'Assainissement des Eaux Usées en Milieu Urbain (PEPRAU)	20/01/2017	30/06/2024	MEEM	AID	Multilatéral	1 733 656 322	0	1 733 656 322	ELECTRICITE
39	2024	Projet d'identification unique pour l'intégration et l'inclusion régionales en Afrique de l'Ouest	22/06/2020	30/07/2026	MEF	AID	Multilatéral	1 183 410 698	895 417 760	2 078 828 458	APPUI BUDGETAIRE
40	2024	Projet d'Amélioration des Services Energétiques (PASE)	14/07/2017	31/12/2023	MEEM	AID	Multilatéral	8 381 976 571	0	8 381 976 571	ELECTRICITE
41	2024	Projet de gestion des Forêts Classées (PFCB)	06/04/2023	30/11/2026	MAEP	AID	Multilatéral	500 000 000	0	500 000 000	FORET
42	2024	Programme de Protection des Filets Sociaux (GBESSOKE)	11/04/2023	31/12/2027	MEF	AID	Multilatéral	14 894 028 451	0	14 894 028 451	SOCIAL
43	2024	Projet d'investissement dans la résilience des zones côtières de l'Afrique de l'Ouest (Waca-ResIP)	21/04/2018	30/06/2025	MCVT	AID	Multilatéral	20 733 476	1 430 555 107	1 451 288 583	CADRE DE VIE
44	2024	Programme d'accès universel à l'eau potable en milieu rural	15/07/2022	30/06/2027	MEM	AID	Multilatéral	18 500 000 000	0	18 500 000 000	ELECTRICITE
45	2024	Projet de Compétitivité de Tourisme Transfrontalier (PCTT)	31/05/2022	30/06/2024	MCVT	AID	Multilatéral	6 648 471 149	0	6 648 471 149	TRANSPORT
46	2024	Programme d'amélioration du système de santé	10/05/2022	30/06/2027	MS	AID	Multilatéral	7 500 000 000	0	7 500 000 000	SANTE
47	2024	Stimuler la croissance inclusive et la résilience	21/09/2023	31/12/2027	MEF	AID	Multilatéral	32 797 850 000	0	32 797 850 000	APPUI BUDGETAIRE
48	2024	Projet d'appui « stimuler la croissance inclusive et la résilience »	21/09/2023	31/12/2024	MEF	AID	Multilatéral	88 880 000 000	0	88 880 000 000	APPUI BUDGETAIRE
49	2024	Projet de Nutrition et de Développement de la Petite Enfance (PNDPE)	NA	NA	MASM	AID	Multilatéral	0	8 106 332 781	8 106 332 781	SANTE
50	2024	Projet d'autonomisation des femmes et de démographie du Sahel	NA	NA	MASM	AID	Multilatéral	0	8 540 213 497	8 540 213 497	GOUVERNANCE LOCALE
51	2024	Projet d'Aménagement de la route Cotonnière Djougou-Pehunco-Kérou-Banikoara	18/01/2019	30/12/2027	MCVT	BAD	Multilatéral	4 515 542 921	0	4 515 542 921	TRANSPORT
52	2024	Projet d'Appui à la Gestion des Forêts Communales (PAGEFCOM)	10/04/2017	31/12/2024	MAEP	AID	Multilatéral	0	4 207 316 561	4 207 316 561	FORET
53	2024	Projet d'Appui au Programme d'Assainissement Pluvial (PAPC) de la ville de Cotonou	15/11/2019	30/06/2027	MCVT	BAD	Multilatéral	3 490 791 460	0	3 490 791 460	CADRE DE VIE
54	2024	Projet d'Electrification Rurale (PERU)	15/11/2019	31/12/2026	MEEM	BAD	Multilatéral	5 156 619 726	0	5 156 619 726	ELECTRICITE
55	2024	Projet d'Appui à la Gestion des Forêts Communales (PAGEFCOM II)	10/04/2017	31/12/2024	MAEP	BAD	Multilatéral	153 394 767	125 562 443	278 957 210	FORET
56	2024	Projet d'Appui aux Infrastructures Agricoles dans la Vallée de l'Ouémé (PAIA-VO)	09/01/2014	31/03/2025	MAEP	BAD	Multilatéral	990 290 026	82 426 040	1 072 716 066	AGRICULTURE
57	2024	Projet de Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE (PRESREDI)	10/12/2018	10/12/2025	MEEM	BAD	Multilatéral	216 403 783	229 766 540	446 170 323	ELECTRICITE
58	2024	Projet d'appui au développement des filières lait et viande et à la promotion des entreprises d'élevage (PRODEFILAV-PEL)	23/02/2022	30/06/2027	MAEP	BAD	Multilatéral	40 245 161	615 410 999	655 656 160	ELEVAGE
59	2024	Projet de réhabilitation de la route Lomé - Cotonou et de protection cotière	07/03/2017	31/12/2025	MCVT	BAD	Multilatéral	114 138 918	73 692 997	187 831 915	TRANSPORT
60	2024	Projet d'Appui au Développement de la Filière Anacarde et l'Entreprenariat Agricole (PADEFA-ENA)	07/05/2019	30/06/2024	MAEP	BAD	Multilatéral	12 873 756	0	12 873 756	AGRICULTURE
61	2024	Programme d'appui à la gouvernance économique et au développement du secteur privé	25/07/2024	31/12/2025	MEF	BAD	Multilatéral	36 655 100 185	0	36 655 100 185	APPUI BUDGETAIRE
62	2024	Projet de transformation agricole et d'entrepreneuriat des jeunes	NA	NA	MAEP	BAD	Multilatéral	0	88 563 672	88 563 672	ENTREPRENEURIAT
63	2024	Projet de construction de routes cotonnières	18/01/2019	30/12/2027	MCVT	BAD	Multilatéral	0	253 449 842	253 449 842	AGRICULTURE
64	2024	Programme intégré de développement et d'adaptation au changement climatique dans le bassin du Niger (PIDACC/BN)	13/12/2021	31/12/2025	MEEM	BAD	Multilatéral	0	42 792 297	42 792 297	CLIMAT
65	2024	Projet d'Appui à l'Université Nationale d'Agriculture et à l'UNSTIM	05/04/2019	31/12/2025	MAEP	BADEA	Multilatéral	9 490 234	0	9 490 234	EDUCATION
66	2024	Projet de Construction de 20 mille logements economiques et sociaux	06/07/2021	31/12/2026	MCVT	BADEA	Multilatéral	2 499 108 037	0	2 499 108 037	CADRE DE VIE
67	2024	Projet de construction et d'équipement de l'école normale supérieure de l'enseignement technique de Lokossa	22/04/2014	31/12/2025	MESFP	BADEA	Multilatéral	347 931 325	0	347 931 325	EDUCATION
68	2024	Projet d'Augmentation du Capital de la Banque Ouest Africaine de Développement (BOAD)	31/07/2023	31/10/2029	MEF	BADEA	Multilatéral	647 005 924	0	647 005 924	AUTRE
69	2024	Projet d'assainissement Puvial de Villes Secondaires du Bénin (PAPVSB)	24/03/2021	07/10/2026	MCVT	BEI	Multilatéral	14 668 912 208	0	14 668 912 208	TRANSPORT
70	2024	Projet "Eau et assainissement Cotonou" phase III	08/12/2016	31/12/2024	MEEM	BEI	Multilatéral	6 385 044 835	0	6 385 044 835	EAU
71	2024	Projet de réhabilitation du corridor Cotonou - Niamey : Section Bérobouay - Malanville	03/04/2018	15/11/2025	MCVT	BID	Multilatéral	6 263 319 004	0	6 263 319 004	TRANSPORT
72	2024	Projet de construction de la route banikoara-keremou-frontière burkina-faso	10/12/2014	31/12/2023	MCVT	BID	Multilatéral	916 148 174	0	916 148 174	TRANSPORT
73	2024	Programme "Combler les écarts : Santé communautaire, Ressources Humaine"	01/09/2021	24/01/2027	MS	BID	Multilatéral	427 240 041	0	427 240 041	SANTE
74	2024	Projet de Drainage des Eaux Pluviales à Cotonou (Vente à temperament)	01/09/2021	31/12/2025	MCVT	BID	Multilatéral	2 643 914 679	0	2 643 914 679	CADRE DE VIE
75	2024	Projet de construction de logements sociaux en République du Bénin	17/10/2019	30/06/2026	MCVT	BID	Multilatéral	60 380 454	0	60 380 454	CADRE DE VIE
76	2024	Projet de Drainage des Eaux Pluviales à Cotonou (Pret Ordinaire)	01/09/2021	31/12/2025	MEEM	BID	Multilatéral	196 455 425	0	196 455 425	EAU
77	2024	Projet de développement des périmètres irrigués en milieu rural	09/06/2015	28/02/2024	MAEP	BID	Multilatéral	931 736 349	0	931 736 349	ELECTRICITE
78	2024	Projet d'Electrification rurale de cent localités par le réseau centralisé en République du Bénin	19/12/2018	31/12/2025	MEEM	BIDC	Multilatéral	1 080 688 356	0	1 080 688 356	ELECTRICITE
79	2024	Projet de construction, de renforcement et de réhabilitation de 44 adductions d'eau villageoise	19/12/2018	31/12/2025	MEEM	BIDC	Multilatéral	512 101 469	0	512 101 469	EAU
80	2024	Projet d'Appui au Developpement du Maraîchage (PADMAR)	01/02/2016	30/06/2027	MAEP	FIDA	Multilatéral	1 324 286 984	0	1 324 286 984	AGRICULTURE
81	2024	Projet d'Appui au Développement Agricole et à l'Accès au Marché (PADAAM)	08/02/2019	31/12/2027	MAEP	FIDA	Multilatéral	1 881 705 872	1 847 658 831	3 729 364 703	AGRICULTURE
82	2024	Programme Régional d'intégration des Marchés Agricoles (PRIMA)	01/11/2021	30/06/2030	MAEP	FIDA	Multilatéral	1 301 651 188	0	1 301 651 188	AGRICULTURE
83	2024	Projet de développement agricole et de soutien au marché	15/10/2019	31/12/2025	MAEP	FIDA	Multilatéral	702 079 829	0	702 079 829	AGRICULTURE
84	2024	Programme pour la Gestion des Zones Côtières de l'Afrique de l'Ouest	14/09/2021	30/06/2025	MCVT	FND	Multilatéral	300 589 481	0	300 589 481	CADRE DE VIE
85	2024	Projet de réduction des pertes d'eau et d'amélioration de la viabilité des systèmes d'AEP de Cotonou, Porto-Novo et leurs Agglomérations	14/11/2015	31/12/2024	MEEM	FSN	Multilatéral	2 432 854	0	2 432 854	EAU
86	2024	Projet d'Appui au Développement du Maraîchage (PADMAR)	09/11/2016	31/12/2024	MAEP	OPEP	Multilatéral	475 901 630	0	475 901 630	AGRICULTURE
87	2024	Projet de réhabilitation du corridor cotonou-niamey: section berobouay-malanville (169,4km)	11/10/2018	31/12/2025	MCVT	OPEP	Multilatéral	808 243 579	0	808 243 579	TRANSPORT
88	2024	Projet de soutien au développement agricole et à l'accès au marché	15/10/2019	31/12/2025	MAEP	OPEP	Multilatéral	632 671 626	0	632 671 626	AGRICULTURE
89	2024	Programme Régional d'Intégration des Marchés Agricoles	14/09/2021	31/12/2027	MAEP	OPEP	Multilatéral	297 375 000	0	297 375 000	AGRICULTURE
90	2024	Projet de conception et construction du CHU d'Abomey-calavi	11/02/2020	11/07/2024	MS	SG	Banque Commerciale Internationale	13 364 504 817	0	13 364 504 817	SANTE
91	2024	Projet de construction de la route des pêches	14/06/2022	31/05/2026	MCVT	BNP	Banque Commerciale Internationale	24 284 399 008	0	24 284 399 008	TRANSPORT
92	2024	Projet de construction d'un complexe touristique "Marina de Ouidah"	31/12/2019	30/09/2025	MTCA	BOC	Banque Commerciale Internationale	3 855 878 448	0	3 855 878 448	TOURISME
93	2024	Projet de construction d'un pont sur le lac Toho, d'aménagement et le bitumage de la route nationale RN36 et de la route Guesso	09/04/2021	31/12/2025	MCVT	DEUTSH BANK	Banque Commerciale Internationale	4 827 163 931	0	4 827 163 931	TRANSPORT
94	2024	Projet Accès Durable et Sécurisé du Bénin à l'Energie Electrique (PADSBEE)	01/04/2021	30/09/2025	MEEM	NTXS	Banque Commerciale Internationale	13 858 512 908	0	13 858 512 908	ELECTRICITE
95	2024	Divers projets routiers - SACE PUSH	25/07/2024	07/08/2024	MCVT	NTXS	Banque Commerciale Internationale	4 700 000 000	0	4 700 000 000	TRANSPORT
96	2024	Projet de réalisation des travaux complémentaires de conception et de construction du CHU d'ABOMEY-Calavi (D) et (E)	14/02/2024	11/10/2024	MS	SG	Banque Commerciale Internationale	2 833 455 760	0	2 833 455 760	SANTE
97	2024	MORINGA - U.S.$750,000,000 7.960% Amortising Notes due 2038 (the Notes)	09/02/2024	13/02/2024	MEF	CGML	Eurobond	286 204 327 783	0	286 204 327 783	DIVERS SECTEURS
98	2024	Projet de vabilisation et de construction dev1300 logements à Ouèdo (Abomey Calavi)- TRANCHE SOUVERAINE	12/09/2017	30/03/2026	MCVT	BOAD	Banque régionale	1 263 980 419	0	1 263 980 419	CADRE DE VIE
99	2024	Projet de vabilisation et de construction dev1300 logements à Ouèdo (Abomey Calavi)- TRANCHE CONCESSIONNELLE	12/09/2017	30/03/2026	MCVT	BOAD	Banque régionale	863 805 262	0	863 805 262	CADRE DE VIE
100	2024	Projet de construction d'une plateforme logistique au niveau du pole agroalimentaire de l'agglomération du grand Nokoué	11/11/2021	07/08/2026	MAEP	BOAD	Banque régionale	2 605 397 497	0	2 605 397 497	AGRICULTURE
101	2024	Projet de sécurité alimentaire par l'aménagement des Bas-Fonds au Bénin	06/08/2009	31/12/2023	MAEP	BOAD	Banque régionale	1 344 641 475	0	1 344 641 475	AGRICULTURE
102	2024	Projet de traversée et de contournement de Parakou	31/03/2014	31/12/2023	MCVT	BOAD	Banque régionale	34 885 376	0	34 885 376	TRANSPORT
103	2024	Projet de Développement d'Infrastructures Socioéconomiques et de Sécurité Alimentaire (PDISSA)	06/03/2017	30/06/2026	MAEP	BOAD	Banque régionale	1 029 045 577	0	1 029 045 577	AUTRE
104	2024	Projet de viabilisation du site de construction de 944 logements sociaux et économiques à Ouédo (Tranche concessionnelle)	15/11/2018	31/12/2025	MCVT	BOAD	Banque régionale	1 061 927 559	0	1 061 927 559	CADRE DE VIE
105	2024	Projet de viabilisation du site de construction de 944 logements sociaux et économiques à Ouédo (Tranche souveraine)	15/11/2018	31/12/2026	MCVT	BOAD	Banque régionale	524 531 482	0	524 531 482	CADRE DE VIE
106	2024	Projet de viabilisation du site de construction de 944 logements sociaux et économiques à Ouédo (Tranche Marchande)	15/11/2018	30/12/2026	MCVT	BOAD	Banque régionale	728 966 562	0	728 966 562	CADRE DE VIE
107	2024	Projet de viabilisation du site de construction de 791 logements sociaux et économiques dans la commune d'Abomey Calavi	15/04/2020	30/06/2026	MCVT	BOAD	Banque régionale	1 687 640 250	0	1 687 640 250	CADRE DE VIE
108	2024	Projet d'aménagement et bitumage de la route Djougou-Pehunco-Kérou-Banikoara	16/07/2019	30/06/2026	MCVT	BOAD	Banque régionale	2 841 177 303	0	2 841 177 303	TRANSPORT
109	2024	Projet d'Urgence de Renforcement de la Resilience des Acteurs Agricole (PUR-ZEDAGA)	13/02/2023	31/12/2025	MAEP	BOAD	Banque régionale	3 673 000 000	0	3 673 000 000	AGRICULTURE
